,Statistic,Quarter,Sex,NACE.Rev.2.Economic.Sector,value
5124,Persons aged 15-89 years in Employment,2021Q3,Female,Industry (B to E),94.1
5125,Persons aged 15-89 years in Employment,2021Q3,Female,Industry and Construction (B to F),106.2
5126,Persons aged 15-89 years in Employment,2021Q3,Female,Services (G to U),1031.5
5127,Persons aged 15-89 years in Employment,2021Q3,Female,"Financial, insurance and real estate activities (K,L)",67.5
5128,Persons aged 15-89 years in Employment,2021Q3,Female,Other NACE activities (R to U),70.1
5129,Persons aged 15-89 years in Employment,2021Q3,Female,Not stated,
5130,Persons aged 15-89 years in Employment,2021Q4,Both sexes,All NACE economic sectors,2506.0
5131,Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Agriculture, forestry and fishing (A)",106.8
5132,Persons aged 15-89 years in Employment,2021Q4,Both sexes,Construction (F),158.3
5133,Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",306.0
5134,Persons aged 15-89 years in Employment,2021Q4,Both sexes,Transportation and storage (H),105.5
5135,Persons aged 15-89 years in Employment,2021Q4,Both sexes,Accommodation and food service activities (I),161.7
5136,Persons aged 15-89 years in Employment,2021Q4,Both sexes,Information and communication (J),166.8
5137,Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Professional, scientific and technical activities (M)",173.3
5138,Persons aged 15-89 years in Employment,2021Q4,Both sexes,Administrative and support service activities (N),95.5
5139,Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Public administration and defence, compulsory social security (O)",133.8
5140,Persons aged 15-89 years in Employment,2021Q4,Both sexes,Education (P),211.5
5141,Persons aged 15-89 years in Employment,2021Q4,Both sexes,Human health and social work activities (Q),319.6
5142,Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry (B to E),314.1
5143,Persons aged 15-89 years in Employment,2021Q4,Both sexes,Industry and Construction (B to F),472.4
5144,Persons aged 15-89 years in Employment,2021Q4,Both sexes,Services (G to U),1919.4
5145,Persons aged 15-89 years in Employment,2021Q4,Both sexes,"Financial, insurance and real estate activities (K,L)",132.8
5146,Persons aged 15-89 years in Employment,2021Q4,Both sexes,Other NACE activities (R to U),113.0
5147,Persons aged 15-89 years in Employment,2021Q4,Both sexes,Not stated,7.4
5148,Persons aged 15-89 years in Employment,2021Q4,Male,All NACE economic sectors,1328.1
5149,Persons aged 15-89 years in Employment,2021Q4,Male,"Agriculture, forestry and fishing (A)",92.2
5150,Persons aged 15-89 years in Employment,2021Q4,Male,Construction (F),143.8
5151,Persons aged 15-89 years in Employment,2021Q4,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",159.6
5152,Persons aged 15-89 years in Employment,2021Q4,Male,Transportation and storage (H),82.1
5153,Persons aged 15-89 years in Employment,2021Q4,Male,Accommodation and food service activities (I),65.2
5154,Persons aged 15-89 years in Employment,2021Q4,Male,Information and communication (J),114.2
5155,Persons aged 15-89 years in Employment,2021Q4,Male,"Professional, scientific and technical activities (M)",87.4
5156,Persons aged 15-89 years in Employment,2021Q4,Male,Administrative and support service activities (N),56.4
5157,Persons aged 15-89 years in Employment,2021Q4,Male,"Public administration and defence, compulsory social security (O)",61.5
5158,Persons aged 15-89 years in Employment,2021Q4,Male,Education (P),59.5
5159,Persons aged 15-89 years in Employment,2021Q4,Male,Human health and social work activities (Q),65.6
5160,Persons aged 15-89 years in Employment,2021Q4,Male,Industry (B to E),216.0
5161,Persons aged 15-89 years in Employment,2021Q4,Male,Industry and Construction (B to F),359.8
5162,Persons aged 15-89 years in Employment,2021Q4,Male,Services (G to U),872.6
5163,Persons aged 15-89 years in Employment,2021Q4,Male,"Financial, insurance and real estate activities (K,L)",71.9
5164,Persons aged 15-89 years in Employment,2021Q4,Male,Other NACE activities (R to U),49.3
5165,Persons aged 15-89 years in Employment,2021Q4,Male,Not stated,
5166,Persons aged 15-89 years in Employment,2021Q4,Female,All NACE economic sectors,1177.9
5167,Persons aged 15-89 years in Employment,2021Q4,Female,"Agriculture, forestry and fishing (A)",14.6
5168,Persons aged 15-89 years in Employment,2021Q4,Female,Construction (F),14.5
5169,Persons aged 15-89 years in Employment,2021Q4,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",146.4
5170,Persons aged 15-89 years in Employment,2021Q4,Female,Transportation and storage (H),23.5
5171,Persons aged 15-89 years in Employment,2021Q4,Female,Accommodation and food service activities (I),96.5
5172,Persons aged 15-89 years in Employment,2021Q4,Female,Information and communication (J),52.6
5173,Persons aged 15-89 years in Employment,2021Q4,Female,"Professional, scientific and technical activities (M)",85.8
5174,Persons aged 15-89 years in Employment,2021Q4,Female,Administrative and support service activities (N),39.1
5175,Persons aged 15-89 years in Employment,2021Q4,Female,"Public administration and defence, compulsory social security (O)",72.3
5176,Persons aged 15-89 years in Employment,2021Q4,Female,Education (P),152.0
5177,Persons aged 15-89 years in Employment,2021Q4,Female,Human health and social work activities (Q),254.0
5178,Persons aged 15-89 years in Employment,2021Q4,Female,Industry (B to E),98.1
5179,Persons aged 15-89 years in Employment,2021Q4,Female,Industry and Construction (B to F),112.5
5180,Persons aged 15-89 years in Employment,2021Q4,Female,Services (G to U),1046.8
5181,Persons aged 15-89 years in Employment,2021Q4,Female,"Financial, insurance and real estate activities (K,L)",60.9
5182,Persons aged 15-89 years in Employment,2021Q4,Female,Other NACE activities (R to U),63.7
5183,Persons aged 15-89 years in Employment,2021Q4,Female,Not stated,
5184,Persons aged 15-89 years in Employment,2022Q1,Both sexes,All NACE economic sectors,2505.8
5185,Persons aged 15-89 years in Employment,2022Q1,Both sexes,"Agriculture, forestry and fishing (A)",103.5
5186,Persons aged 15-89 years in Employment,2022Q1,Both sexes,Construction (F),159.3
5187,Persons aged 15-89 years in Employment,2022Q1,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",301.9
5188,Persons aged 15-89 years in Employment,2022Q1,Both sexes,Transportation and storage (H),113.2
5189,Persons aged 15-89 years in Employment,2022Q1,Both sexes,Accommodation and food service activities (I),162.6
5190,Persons aged 15-89 years in Employment,2022Q1,Both sexes,Information and communication (J),163.6
5191,Persons aged 15-89 years in Employment,2022Q1,Both sexes,"Professional, scientific and technical activities (M)",162.3
5192,Persons aged 15-89 years in Employment,2022Q1,Both sexes,Administrative and support service activities (N),102.3
5193,Persons aged 15-89 years in Employment,2022Q1,Both sexes,"Public administration and defence, compulsory social security (O)",133.7
5194,Persons aged 15-89 years in Employment,2022Q1,Both sexes,Education (P),211.0
5195,Persons aged 15-89 years in Employment,2022Q1,Both sexes,Human health and social work activities (Q),325.2
5196,Persons aged 15-89 years in Employment,2022Q1,Both sexes,Industry (B to E),315.2
5197,Persons aged 15-89 years in Employment,2022Q1,Both sexes,Industry and Construction (B to F),474.6
5198,Persons aged 15-89 years in Employment,2022Q1,Both sexes,Services (G to U),1920.2
5199,Persons aged 15-89 years in Employment,2022Q1,Both sexes,"Financial, insurance and real estate activities (K,L)",135.3
5200,Persons aged 15-89 years in Employment,2022Q1,Both sexes,Other NACE activities (R to U),109.3
5201,Persons aged 15-89 years in Employment,2022Q1,Both sexes,Not stated,7.5
5202,Persons aged 15-89 years in Employment,2022Q1,Male,All NACE economic sectors,1331.0
5203,Persons aged 15-89 years in Employment,2022Q1,Male,"Agriculture, forestry and fishing (A)",88.1
5204,Persons aged 15-89 years in Employment,2022Q1,Male,Construction (F),147.0
5205,Persons aged 15-89 years in Employment,2022Q1,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",153.4
5206,Persons aged 15-89 years in Employment,2022Q1,Male,Transportation and storage (H),92.0
5207,Persons aged 15-89 years in Employment,2022Q1,Male,Accommodation and food service activities (I),67.0
5208,Persons aged 15-89 years in Employment,2022Q1,Male,Information and communication (J),114.8
5209,Persons aged 15-89 years in Employment,2022Q1,Male,"Professional, scientific and technical activities (M)",84.8
5210,Persons aged 15-89 years in Employment,2022Q1,Male,Administrative and support service activities (N),58.6
5211,Persons aged 15-89 years in Employment,2022Q1,Male,"Public administration and defence, compulsory social security (O)",61.1
5212,Persons aged 15-89 years in Employment,2022Q1,Male,Education (P),56.0
5213,Persons aged 15-89 years in Employment,2022Q1,Male,Human health and social work activities (Q),70.9
5214,Persons aged 15-89 years in Employment,2022Q1,Male,Industry (B to E),216.7
5215,Persons aged 15-89 years in Employment,2022Q1,Male,Industry and Construction (B to F),363.7
5216,Persons aged 15-89 years in Employment,2022Q1,Male,Services (G to U),874.2
5217,Persons aged 15-89 years in Employment,2022Q1,Male,"Financial, insurance and real estate activities (K,L)",70.3
5218,Persons aged 15-89 years in Employment,2022Q1,Male,Other NACE activities (R to U),45.3
5219,Persons aged 15-89 years in Employment,2022Q1,Male,Not stated,
5220,Persons aged 15-89 years in Employment,2022Q1,Female,All NACE economic sectors,1174.7
5221,Persons aged 15-89 years in Employment,2022Q1,Female,"Agriculture, forestry and fishing (A)",15.5
5222,Persons aged 15-89 years in Employment,2022Q1,Female,Construction (F),12.3
5223,Persons aged 15-89 years in Employment,2022Q1,Female,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",148.4
5224,Persons aged 15-89 years in Employment,2022Q1,Female,Transportation and storage (H),21.2
5225,Persons aged 15-89 years in Employment,2022Q1,Female,Accommodation and food service activities (I),95.6
5226,Persons aged 15-89 years in Employment,2022Q1,Female,Information and communication (J),48.8
5227,Persons aged 15-89 years in Employment,2022Q1,Female,"Professional, scientific and technical activities (M)",77.5
5228,Persons aged 15-89 years in Employment,2022Q1,Female,Administrative and support service activities (N),43.7
5229,Persons aged 15-89 years in Employment,2022Q1,Female,"Public administration and defence, compulsory social security (O)",72.6
5230,Persons aged 15-89 years in Employment,2022Q1,Female,Education (P),154.9
5231,Persons aged 15-89 years in Employment,2022Q1,Female,Human health and social work activities (Q),254.3
5232,Persons aged 15-89 years in Employment,2022Q1,Female,Industry (B to E),98.5
5233,Persons aged 15-89 years in Employment,2022Q1,Female,Industry and Construction (B to F),110.9
5234,Persons aged 15-89 years in Employment,2022Q1,Female,Services (G to U),1046.0
5235,Persons aged 15-89 years in Employment,2022Q1,Female,"Financial, insurance and real estate activities (K,L)",65.0
5236,Persons aged 15-89 years in Employment,2022Q1,Female,Other NACE activities (R to U),64.0
5237,Persons aged 15-89 years in Employment,2022Q1,Female,Not stated,
5238,Persons aged 15-89 years in Employment,2022Q2,Both sexes,All NACE economic sectors,2554.6
5239,Persons aged 15-89 years in Employment,2022Q2,Both sexes,"Agriculture, forestry and fishing (A)",105.8
5240,Persons aged 15-89 years in Employment,2022Q2,Both sexes,Construction (F),167.3
5241,Persons aged 15-89 years in Employment,2022Q2,Both sexes,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",321.2
5242,Persons aged 15-89 years in Employment,2022Q2,Both sexes,Transportation and storage (H),110.9
5243,Persons aged 15-89 years in Employment,2022Q2,Both sexes,Accommodation and food service activities (I),168.2
5244,Persons aged 15-89 years in Employment,2022Q2,Both sexes,Information and communication (J),164.9
5245,Persons aged 15-89 years in Employment,2022Q2,Both sexes,"Professional, scientific and technical activities (M)",166.7
5246,Persons aged 15-89 years in Employment,2022Q2,Both sexes,Administrative and support service activities (N),105.9
5247,Persons aged 15-89 years in Employment,2022Q2,Both sexes,"Public administration and defence, compulsory social security (O)",127.2
5248,Persons aged 15-89 years in Employment,2022Q2,Both sexes,Education (P),215.5
5249,Persons aged 15-89 years in Employment,2022Q2,Both sexes,Human health and social work activities (Q),331.1
5250,Persons aged 15-89 years in Employment,2022Q2,Both sexes,Industry (B to E),321.1
5251,Persons aged 15-89 years in Employment,2022Q2,Both sexes,Industry and Construction (B to F),488.4
5252,Persons aged 15-89 years in Employment,2022Q2,Both sexes,Services (G to U),1951.3
5253,Persons aged 15-89 years in Employment,2022Q2,Both sexes,"Financial, insurance and real estate activities (K,L)",130.9
5254,Persons aged 15-89 years in Employment,2022Q2,Both sexes,Other NACE activities (R to U),108.6
5255,Persons aged 15-89 years in Employment,2022Q2,Both sexes,Not stated,9.1
5256,Persons aged 15-89 years in Employment,2022Q2,Male,All NACE economic sectors,1360.2
5257,Persons aged 15-89 years in Employment,2022Q2,Male,"Agriculture, forestry and fishing (A)",90.9
5258,Persons aged 15-89 years in Employment,2022Q2,Male,Construction (F),151.8
5259,Persons aged 15-89 years in Employment,2022Q2,Male,"Wholesale and retail trade, repair of motor vehicles and motorcycles (G)",164.5
5260,Persons aged 15-89 years in Employment,2022Q2,Male,Transportation and storage (H),89.0
