Statistic,Quarter,Item,value
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q3,Change in net worth due to other economic flows - ESA2010 Code (Kx),736
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q3,Change in net worth due to other economic flows - Other changes in non-financial assets,1950
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q3,Change in net worth due to other economic flows - Other changes in financial assets,-1675
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q3,Change in net worth due to other economic flows - Other changes in liabilities,461
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q3,Closing net worth,-38447
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q3,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),239655
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q3,General Government Debt (GGDebt) - Difference between EDP face value and market value,-23945
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q3,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),215710
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q3,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-37821
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q3,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),177889
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-31333
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),128435
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-159768
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",90231
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",28920
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",36607
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",24704
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",249999
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",225334
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",24664
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,Estimated pension liabilities of government,149600
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,"Net worth, including pension liabilities",-180933
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,Contingent liabilities,5066
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,"Net worth, including pension liabilities and contingent liabilities",-185998
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,General Government: changes in net worth - Opening net worth,-38447
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,Change in net worth due to transactions,2831
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),705
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),2126
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,Change in net worth due to other economic flows - ESA2010 Code (Kx),4284
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,Change in net worth due to other economic flows - Other changes in non-financial assets,1950
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,Change in net worth due to other economic flows - Other changes in financial assets,-1679
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,Change in net worth due to other economic flows - Other changes in liabilities,4013
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,Closing net worth,-31332
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),225334
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,General Government Debt (GGDebt) - Difference between EDP face value and market value,-19487
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),205848
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-28920
"General Government Net Worth, Gross and Net Debt ESA 2010",2018Q4,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),176928
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-31470
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),130861
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-162331
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",100620
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",36692
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",39870
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",24058
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,"Financial net worth at market value, excluding pension liabilities - Liabilities at market value - ESA2010 Code (L)",262952
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Liability) - ESA2010 Code (F2 + F3 + F4)",238379
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,"Financial net worth at market value, excluding pension liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8)",24573
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,Estimated pension liabilities of government,149600
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,"Net worth, including pension liabilities",-181070
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,Contingent liabilities,5314
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,"Net worth, including pension liabilities and contingent liabilities",-186384
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,General Government: changes in net worth - Opening net worth,-31332
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,Change in net worth due to transactions,-450
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,Change in net worth due to transactions - Net acquisition of non-financial assets - ESA2010 Code (P5 +NP - P51c),893
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,Change in net worth due to transactions - Net lending/net borrowing - ESA2010 Code (B9),-1344
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,Change in net worth due to other economic flows - ESA2010 Code (Kx),313
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,Change in net worth due to other economic flows - Other changes in non-financial assets,1533
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,Change in net worth due to other economic flows - Other changes in financial assets,3161
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,Change in net worth due to other economic flows - Other changes in liabilities,-4381
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,Closing net worth,-31470
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,General Government Debt (GGDebt) - Debt instrument liabilities at market value - ESA2010 Code (F2 + F3 + F4),238379
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,General Government Debt (GGDebt) - Difference between EDP face value and market value,-23376
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,Gross General Government Debt (EDP face value) - Gross General Government Debt - ESA2010 Code (GGDebt),215003
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,Gross General Government Debt (EDP face value) - EDP debt instrument assets - ESA2010 Code (F2 + F3 + F4),-36692
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q1,Gross General Government Debt (EDP face value) - Net General Government Debt - ESA2010 Code (GGNetDebt),178311
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q2,"General Government net worth - Net Worth at market value, excluding pension liabilities - ESA2010 Code (NW)",-30304
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q2,General Government net worth - Non-financial assets at market value - ESA2010 Code (NFA),133207
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q2,"General Government net worth - Financial net worth at market value, excluding pension liabilities - ESA2010 Code (FNW)",-163511
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q2,"Financial net worth at market value, excluding pension liabilities - Financial assets at market value - ESA2010 Code (FA)",99283
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q2,"Financial net worth at market value, excluding pension liabilities - EDP debt instruments (Asset) - ESA2010 Code (F2 + F3 + F4)",38520
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q2,"Financial net worth at market value, excluding pension liabilities - Equity and Investment Fund Shares (Asset) - ESA2010 Code (F5)",36547
"General Government Net Worth, Gross and Net Debt ESA 2010",2019Q2,"Financial net worth at market value, excluding pension liabilities - Other financial assets - ESA2010 Code (F6 + F7 + F8)",24216
