,Statistic,Quarter,Sector,value
5446,Expenditure on GNP at Constant Market Prices,2014Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
5447,Expenditure on GNP at Constant Market Prices,2014Q4,Value of Physical Changes in Stocks,1134.0
5448,Expenditure on GNP at Constant Market Prices,2014Q4,Exports of Goods and Services (excluding Factor Income Flows),60724.0
5449,Expenditure on GNP at Constant Market Prices,2014Q4,Imports of Goods and Services (excluding Factor Income Flows),-53168.0
5450,Expenditure on GNP at Constant Market Prices,2014Q4,Gross Domestic Product at Market Prices,57453.0
5451,Expenditure on GNP at Constant Market Prices,2014Q4,Net Factor Income from the Rest of the World,-7401.0
5452,Expenditure on GNP at Constant Market Prices,2014Q4,Gross National Product at Market Prices,50423.0
5453,Expenditure on GNP at Constant Market Prices,2014Q4,Statistical Discrepancy,
5454,Expenditure on GNP at Constant Market Prices,2014Q4,Export of Goods (excluding Factor Income Flows),27075.0
5455,Expenditure on GNP at Constant Market Prices,2014Q4,Import of Goods (excluding Factor Income Flows),-20241.0
5456,Expenditure on GNP at Constant Market Prices,2014Q4,Export of Services (excluding Factor Income Flows),34113.0
5457,Expenditure on GNP at Constant Market Prices,2014Q4,Import of Services (excluding Factor Income Flows),-32379.0
5458,Expenditure on GNP at Constant Market Prices,2014Q4,Final Domestic Demand,47112.0
5459,Expenditure on GNP at Constant Market Prices,2014Q4,Total Domestic Demand,48492.0
5460,Expenditure on GNP at Constant Market Prices,2015Q1,Personal Expenditure on Consumer Goods and Services,24513.0
5461,Expenditure on GNP at Constant Market Prices,2015Q1,Household & NPISH Final Consumption Expenditure,23191.0
5462,Expenditure on GNP at Constant Market Prices,2015Q1,Net Expenditure by Central and Local Govt. on Current Goods and Services,7693.0
5463,Expenditure on GNP at Constant Market Prices,2015Q1,General Government Expenditure on Goods & Services provided to Households,6013.0
5464,Expenditure on GNP at Constant Market Prices,2015Q1,General Government Collective Consumption Expenditure,2999.0
5465,Expenditure on GNP at Constant Market Prices,2015Q1,General Government Final Consumption Expenditure,9012.0
5466,Expenditure on GNP at Constant Market Prices,2015Q1,Gross Domestic Fixed Capital Formation,13785.0
5467,Expenditure on GNP at Constant Market Prices,2015Q1,Gross domestic fixed capital formation - Dwellings,369.0
5468,Expenditure on GNP at Constant Market Prices,2015Q1,Gross domestic fixed capital formation - Improvements,704.0
5469,Expenditure on GNP at Constant Market Prices,2015Q1,Gross domestic fixed capital formation - Other Building and Construction,2895.0
5470,Expenditure on GNP at Constant Market Prices,2015Q1,Gross domestic fixed capital formation - Transfer Costs,364.0
5471,Expenditure on GNP at Constant Market Prices,2015Q1,Gross domestic fixed capital formation - Machinery and Equipment,4273.0
5472,Expenditure on GNP at Constant Market Prices,2015Q1,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,1560.0
5473,Expenditure on GNP at Constant Market Prices,2015Q1,Gross domestic fixed capital formation - Intangible Assets,5414.0
5474,Expenditure on GNP at Constant Market Prices,2015Q1,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
5475,Expenditure on GNP at Constant Market Prices,2015Q1,Value of Physical Changes in Stocks,955.0
5476,Expenditure on GNP at Constant Market Prices,2015Q1,Exports of Goods and Services (excluding Factor Income Flows),75008.0
5477,Expenditure on GNP at Constant Market Prices,2015Q1,Imports of Goods and Services (excluding Factor Income Flows),-56153.0
5478,Expenditure on GNP at Constant Market Prices,2015Q1,Gross Domestic Product at Market Prices,68850.0
5479,Expenditure on GNP at Constant Market Prices,2015Q1,Net Factor Income from the Rest of the World,-16478.0
5480,Expenditure on GNP at Constant Market Prices,2015Q1,Gross National Product at Market Prices,52173.0
5481,Expenditure on GNP at Constant Market Prices,2015Q1,Statistical Discrepancy,
5482,Expenditure on GNP at Constant Market Prices,2015Q1,Export of Goods (excluding Factor Income Flows),40592.0
5483,Expenditure on GNP at Constant Market Prices,2015Q1,Import of Goods (excluding Factor Income Flows),-20687.0
5484,Expenditure on GNP at Constant Market Prices,2015Q1,Export of Services (excluding Factor Income Flows),32448.0
5485,Expenditure on GNP at Constant Market Prices,2015Q1,Import of Services (excluding Factor Income Flows),-34961.0
5486,Expenditure on GNP at Constant Market Prices,2015Q1,Final Domestic Demand,46073.0
5487,Expenditure on GNP at Constant Market Prices,2015Q1,Total Domestic Demand,47187.0
5488,Expenditure on GNP at Constant Market Prices,2015Q2,Personal Expenditure on Consumer Goods and Services,24392.0
5489,Expenditure on GNP at Constant Market Prices,2015Q2,Household & NPISH Final Consumption Expenditure,23076.0
5490,Expenditure on GNP at Constant Market Prices,2015Q2,Net Expenditure by Central and Local Govt. on Current Goods and Services,7725.0
5491,Expenditure on GNP at Constant Market Prices,2015Q2,General Government Expenditure on Goods & Services provided to Households,6030.0
5492,Expenditure on GNP at Constant Market Prices,2015Q2,General Government Collective Consumption Expenditure,3008.0
5493,Expenditure on GNP at Constant Market Prices,2015Q2,General Government Final Consumption Expenditure,9037.0
5494,Expenditure on GNP at Constant Market Prices,2015Q2,Gross Domestic Fixed Capital Formation,15711.0
5495,Expenditure on GNP at Constant Market Prices,2015Q2,Gross domestic fixed capital formation - Dwellings,391.0
5496,Expenditure on GNP at Constant Market Prices,2015Q2,Gross domestic fixed capital formation - Improvements,667.0
5497,Expenditure on GNP at Constant Market Prices,2015Q2,Gross domestic fixed capital formation - Other Building and Construction,3344.0
5498,Expenditure on GNP at Constant Market Prices,2015Q2,Gross domestic fixed capital formation - Transfer Costs,300.0
5499,Expenditure on GNP at Constant Market Prices,2015Q2,Gross domestic fixed capital formation - Machinery and Equipment,4169.0
5500,Expenditure on GNP at Constant Market Prices,2015Q2,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,2107.0
5501,Expenditure on GNP at Constant Market Prices,2015Q2,Gross domestic fixed capital formation - Intangible Assets,7118.0
5502,Expenditure on GNP at Constant Market Prices,2015Q2,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
5503,Expenditure on GNP at Constant Market Prices,2015Q2,Value of Physical Changes in Stocks,772.0
5504,Expenditure on GNP at Constant Market Prices,2015Q2,Exports of Goods and Services (excluding Factor Income Flows),77919.0
5505,Expenditure on GNP at Constant Market Prices,2015Q2,Imports of Goods and Services (excluding Factor Income Flows),-61065.0
5506,Expenditure on GNP at Constant Market Prices,2015Q2,Gross Domestic Product at Market Prices,66559.0
5507,Expenditure on GNP at Constant Market Prices,2015Q2,Net Factor Income from the Rest of the World,-11591.0
5508,Expenditure on GNP at Constant Market Prices,2015Q2,Gross National Product at Market Prices,55144.0
5509,Expenditure on GNP at Constant Market Prices,2015Q2,Statistical Discrepancy,
5510,Expenditure on GNP at Constant Market Prices,2015Q2,Export of Goods (excluding Factor Income Flows),39782.0
5511,Expenditure on GNP at Constant Market Prices,2015Q2,Import of Goods (excluding Factor Income Flows),-20320.0
5512,Expenditure on GNP at Constant Market Prices,2015Q2,Export of Services (excluding Factor Income Flows),36934.0
5513,Expenditure on GNP at Constant Market Prices,2015Q2,Import of Services (excluding Factor Income Flows),-40375.0
5514,Expenditure on GNP at Constant Market Prices,2015Q2,Final Domestic Demand,47842.0
5515,Expenditure on GNP at Constant Market Prices,2015Q2,Total Domestic Demand,48692.0
5516,Expenditure on GNP at Constant Market Prices,2015Q3,Personal Expenditure on Consumer Goods and Services,25183.0
5517,Expenditure on GNP at Constant Market Prices,2015Q3,Household & NPISH Final Consumption Expenditure,23824.0
5518,Expenditure on GNP at Constant Market Prices,2015Q3,Net Expenditure by Central and Local Govt. on Current Goods and Services,7786.0
5519,Expenditure on GNP at Constant Market Prices,2015Q3,General Government Expenditure on Goods & Services provided to Households,6099.0
5520,Expenditure on GNP at Constant Market Prices,2015Q3,General Government Collective Consumption Expenditure,3042.0
5521,Expenditure on GNP at Constant Market Prices,2015Q3,General Government Final Consumption Expenditure,9141.0
5522,Expenditure on GNP at Constant Market Prices,2015Q3,Gross Domestic Fixed Capital Formation,16228.0
5523,Expenditure on GNP at Constant Market Prices,2015Q3,Gross domestic fixed capital formation - Dwellings,527.0
5524,Expenditure on GNP at Constant Market Prices,2015Q3,Gross domestic fixed capital formation - Improvements,660.0
5525,Expenditure on GNP at Constant Market Prices,2015Q3,Gross domestic fixed capital formation - Other Building and Construction,3868.0
5526,Expenditure on GNP at Constant Market Prices,2015Q3,Gross domestic fixed capital formation - Transfer Costs,314.0
5527,Expenditure on GNP at Constant Market Prices,2015Q3,Gross domestic fixed capital formation - Machinery and Equipment,3432.0
5528,Expenditure on GNP at Constant Market Prices,2015Q3,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,1086.0
5529,Expenditure on GNP at Constant Market Prices,2015Q3,Gross domestic fixed capital formation - Intangible Assets,7908.0
5530,Expenditure on GNP at Constant Market Prices,2015Q3,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
5531,Expenditure on GNP at Constant Market Prices,2015Q3,Value of Physical Changes in Stocks,1704.0
5532,Expenditure on GNP at Constant Market Prices,2015Q3,Exports of Goods and Services (excluding Factor Income Flows),82185.0
5533,Expenditure on GNP at Constant Market Prices,2015Q3,Imports of Goods and Services (excluding Factor Income Flows),-61946.0
5534,Expenditure on GNP at Constant Market Prices,2015Q3,Gross Domestic Product at Market Prices,71362.0
5535,Expenditure on GNP at Constant Market Prices,2015Q3,Net Factor Income from the Rest of the World,-18083.0
5536,Expenditure on GNP at Constant Market Prices,2015Q3,Gross National Product at Market Prices,52987.0
5537,Expenditure on GNP at Constant Market Prices,2015Q3,Statistical Discrepancy,
5538,Expenditure on GNP at Constant Market Prices,2015Q3,Export of Goods (excluding Factor Income Flows),43072.0
5539,Expenditure on GNP at Constant Market Prices,2015Q3,Import of Goods (excluding Factor Income Flows),-20643.0
5540,Expenditure on GNP at Constant Market Prices,2015Q3,Export of Services (excluding Factor Income Flows),37451.0
5541,Expenditure on GNP at Constant Market Prices,2015Q3,Import of Services (excluding Factor Income Flows),-40926.0
5542,Expenditure on GNP at Constant Market Prices,2015Q3,Final Domestic Demand,49208.0
5543,Expenditure on GNP at Constant Market Prices,2015Q3,Total Domestic Demand,51353.0
5544,Expenditure on GNP at Constant Market Prices,2015Q4,Personal Expenditure on Consumer Goods and Services,27276.0
5545,Expenditure on GNP at Constant Market Prices,2015Q4,Household & NPISH Final Consumption Expenditure,25804.0
5546,Expenditure on GNP at Constant Market Prices,2015Q4,Net Expenditure by Central and Local Govt. on Current Goods and Services,7897.0
5547,Expenditure on GNP at Constant Market Prices,2015Q4,General Government Expenditure on Goods & Services provided to Households,6248.0
5548,Expenditure on GNP at Constant Market Prices,2015Q4,General Government Collective Consumption Expenditure,3117.0
5549,Expenditure on GNP at Constant Market Prices,2015Q4,General Government Final Consumption Expenditure,9365.0
5550,Expenditure on GNP at Constant Market Prices,2015Q4,Gross Domestic Fixed Capital Formation,25097.0
5551,Expenditure on GNP at Constant Market Prices,2015Q4,Gross domestic fixed capital formation - Dwellings,434.0
5552,Expenditure on GNP at Constant Market Prices,2015Q4,Gross domestic fixed capital formation - Improvements,701.0
5553,Expenditure on GNP at Constant Market Prices,2015Q4,Gross domestic fixed capital formation - Other Building and Construction,4502.0
5554,Expenditure on GNP at Constant Market Prices,2015Q4,Gross domestic fixed capital formation - Transfer Costs,345.0
5555,Expenditure on GNP at Constant Market Prices,2015Q4,Gross domestic fixed capital formation - Machinery and Equipment,4108.0
5556,Expenditure on GNP at Constant Market Prices,2015Q4,Gross domestic fixed capital formation - Machinery and Equipment of which: Other Transport Equipment,2181.0
5557,Expenditure on GNP at Constant Market Prices,2015Q4,Gross domestic fixed capital formation - Intangible Assets,15325.0
5558,Expenditure on GNP at Constant Market Prices,2015Q4,"Gross domestic fixed capital formation - All Building &Construction (including Dwellings, Improvements, Other B&C and Transfer Costs)",
5559,Expenditure on GNP at Constant Market Prices,2015Q4,Value of Physical Changes in Stocks,644.0
