,Statistic,Quarter,Item,value
2040,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),1169.0
2041,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,Net incurrence of liabilities,-2500.0
2042,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-2411.0
2043,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),-88.0
2044,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,Memo: Net derivative flows on debt interest swap contracts,-71.0
2045,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),18102.0
2046,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),20606.0
2047,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2015Q4,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-2504.0
2048,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Revenue - ESA2010 Code (TR),16447.0
2049,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),15109.0
2050,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),11857.0
2051,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),3252.0
2052,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),988.0
2053,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),109.0
2054,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),120.0
2055,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),120.0
2056,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Expenditure - ESA2010 Code (TE),18212.0
2057,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),17936.0
2058,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),4951.0
2059,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2259.0
2060,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),972.0
2061,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1665.0
2062,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),380.0
2063,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),6588.0
2064,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),832.0
2065,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),289.0
2066,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,Net operating balance - ESA2010 Code  (NOB),-1489.0
2067,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),276.0
2068,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government Surplus/Deficit - ESA2010 Code (B9),-1765.0
2069,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,Net acquisition of financial assets,4089.0
2070,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),3868.0
2071,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),627.0
2072,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),-406.0
2073,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,Net incurrence of liabilities,4944.0
2074,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),4933.0
2075,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),11.0
2076,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,Memo: Net derivative flows on debt interest swap contracts,-71.0
2077,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Seasonally Adjusted Revenue - ESA2010 Code (TR),17896.0
2078,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government transactions - Seasonally Adjusted Expenditure - ESA2010 Code (TE),18762.0
2079,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q1,General Government Seasonally Adjusted Surplus/Deficit - ESA2010 Code (B9),-866.0
2080,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Revenue - ESA2010 Code (TR),18446.0
2081,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Revenue - Taxes and social contributions - ESA2010 Code ( D2 + D5 + D91 + D61),15693.0
2082,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Revenue - Taxes - ESA2010 Code (D2 + D5 + D91),12558.0
2083,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Revenue - Social contributions - ESA2010 Code (D61),3136.0
2084,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Revenue - Sales of goods and services - ESA2010 Code (P10),1140.0
2085,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Revenue - Investment income - ESA2010 Code (D4),1339.0
2086,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Revenue - Current transfer revenue (excluding taxes) - ESA2010 Code (D7),136.0
2087,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Revenue - Capital transfer revenue (excluding taxes) - ESA2010 Code (D9N),138.0
2088,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Expenditure - ESA2010 Code (TE),18249.0
2089,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Expenditure - Expense - ESA2010 Code (Expense),17772.0
2090,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Expenditure - Compensation of employees - ESA2010 Code (D1),5029.0
2091,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Expenditure - Use of goods and services plus taxes payable - ESA2010 Code (P2 + D5 + D29),2390.0
2092,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Expenditure - Depreciation (consumption of fixed capital) - ESA2010 Code (P51c),972.0
2093,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Expenditure - Interest (excluding FISIM) - ESA2010 Code (D41),1585.0
2094,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Expenditure - Subsidies - ESA2010 Code (D3),396.0
2095,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Expenditure - Social benefits - ESA2010 Code (D62 + D632),6642.0
2096,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Expenditure - Other current transfers - ESA2010 Code (D7),445.0
2097,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government transactions - Expenditure - Capital transfers - ESA2010 Code (D9),314.0
2098,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,Net operating balance - ESA2010 Code  (NOB),674.0
2099,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,Net acquisition of non-financial assets - ESA2010 Code (P5 + NP - P51c),476.0
2100,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,General Government Surplus/Deficit - ESA2010 Code (B9),198.0
2101,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,Net acquisition of financial assets,-7950.0
2102,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,Net acquisition of financial assets - Debt instruments - ESA2010 Code (F2 + F3 + F4),-6206.0
2103,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,Net acquisition of financial assets - Equity and Investment Fund Shares - ESA2010 Code (F5),-1508.0
2104,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,Net acquisition of financial assets - Other financial assets - ESA2010 Code (F6 + F7 + F8),-236.0
2105,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,Net incurrence of liabilities,-7127.0
2106,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,Net incurrence of liabilities - Debt instruments - ESA2010 Code (F2 + F3 + F4),-7128.0
2107,"General Government Transactions ESA 2010: Revenue, Expenditure, Financing and Deficit",2016Q2,Net incurrence of liabilities - Other liabilities - ESA2010 Code (F5 + F6 + F7 + F8),1.0
